numdp   nosort_tree     nosort_knn      ancestor_tree   ancestor_knn    orig_tree   orig_knn
10000   914842          2946402         4036706         1936769         6349632     10454914
20000   2014484         8720524         3342761         5157967         14992121    29619745
30000   5874045         12417684        4030158         9404948         26367717    51460698
40000   8801871         17207072        25255604        17213384        35468166    80262215
50000   11801917        26329027        8465545         18907854        50902768    88998361
60000   15742935        38480431        10615631        23408543        63649622    118057930
70000   19959102        50988754        13180038        32531546        79885055    125175812
80000   25220969        62674559        16264724        41966925        75278191    242320725
90000   33743975        73790767        21725709        49774852        92711482    269510418
100000  40219945        90379417        26630111        62482669        129858475   239225838
110000  40534721        105316900       34784248        75552119        135871073   315057892
120000  53611205        112183838       37135373        83855274        146778322   350767888
130000  62904551        127729655       38502559        87086877        179586314   372173673
140000  44140643        145942028       44940323        118587567       158571644   452047546
150000  47249051        178000419       88558668        127751691       172428788   469596838
160000  53457726        172524503       53144337        134524284       173561718   597696423
170000  59114225        205742840       60329484        144956636       206526943   636533507
180000  101037800       219614438       83948509        178514918       269070770   651608517
190000  124019993       238318193       68975949        201075694       269070770   651608517
200000  79865619        264641468       74965100        200738430       327719494   617383867
210000  88265954        312057420       81449706        231891830       344835037   757393023
220000  96493876        328244780       88232258        243571167       315604260   843063964
230000  106061265       340176985       95858179        247203160       367581953   923075679
240000  107565886       388955702       102795135       261767795       416896256   848714071
250000  114012469       385204969       103936680       286046304       337997550   1079597442
